,index,f-measure,markerCount,clusterName,1,2,3
9,CL8&IgG2b>=7.5&CD8a>=5522.0&CD45RA>=2186.5,0.700798838054,3,CL8,IgG2b,CD8a,CD45RA
22,CL8&CD45RA>=2186.5&IgG2b>=7.5&CD8a>=5522.0,0.700798838054,3,CL8,CD45RA,IgG2b,CD8a
32,CL8&CD8a>=5522.0&CD45RA>=2186.5&IgG2b>=7.5,0.700798838054,3,CL8,CD8a,CD45RA,IgG2b
57,CL8&CD45RA>=2186.5&CD8a>=5522.0&IgG2b>=7.5,0.700798838054,3,CL8,CD45RA,CD8a,IgG2b
89,CL8&CD8a>=5522.0&IgG2b>=7.5&CD45RA>=2186.5,0.700798838054,3,CL8,CD8a,IgG2b,CD45RA
132,CL8&IgG2b>=7.5&CD45RA>=2186.5&CD8a>=5522.0,0.700798838054,3,CL8,IgG2b,CD45RA,CD8a
18,CL8&CD45RA>=2186.5&IgG2b>=7.5,0.360740981475,2,CL8,CD45RA,IgG2b,nan
37,CL8&IgG2b>=7.5&CD45RA>=2186.5,0.360740981475,2,CL8,IgG2b,CD45RA,nan
7,CL8&IgG2b>=7.5,0.3161923781,1,CL8,IgG2b,nan,nan
34,CL8&CD45RA>=2186.5,0.160875773441,1,CL8,CD45RA,nan,nan
63,CL9&CD3>=2853.5&CD4>=3695.5,0.646867371847,2,CL9,CD3,CD4,nan
101,CL9&CD4>=3695.5&CD3>=2853.5,0.646867371847,2,CL9,CD4,CD3,nan
65,CL9&CD4>=3695.5,0.627118644068,1,CL9,CD4,nan,nan
12,CL9&CD45RO>=960.5&CD4>=3695.5,0.615763546798,2,CL9,CD45RO,CD4,nan
15,CL9&CD4>=3695.5&CD45RO>=960.5,0.615763546798,2,CL9,CD4,CD45RO,nan
36,CL9&CD3>=2853.5&CD45RO>=960.5&CD4>=3695.5,0.546265328874,3,CL9,CD3,CD45RO,CD4
66,CL9&CD45RO>=960.5&CD4>=3695.5&CD3>=2853.5,0.546265328874,3,CL9,CD45RO,CD4,CD3
78,CL9&CD45RO>=960.5&CD3>=2853.5&CD4>=3695.5,0.546265328874,3,CL9,CD45RO,CD3,CD4
80,CL9&CD4>=3695.5&CD3>=2853.5&CD45RO>=960.5,0.546265328874,3,CL9,CD4,CD3,CD45RO
116,CL9&CD3>=2853.5&CD4>=3695.5&CD45RO>=960.5,0.546265328874,3,CL9,CD3,CD4,CD45RO
123,CL9&CD4>=3695.5&CD45RO>=960.5&CD3>=2853.5,0.546265328874,3,CL9,CD4,CD45RO,CD3
17,CL9&CD45RO>=960.5&CD3>=2853.5,0.546218487395,2,CL9,CD45RO,CD3,nan
58,CL9&CD3>=2853.5&CD45RO>=960.5,0.546218487395,2,CL9,CD3,CD45RO,nan
134,CL9&CD45RO>=960.5,0.31750339213,1,CL9,CD45RO,nan,nan
128,CL9&CD3>=2853.5,0.303567210017,1,CL9,CD3,nan,nan
